timestamp,state,x,y
1688627681133,1,-281.1268,231.0815,0
1688627681133,1,-281.1268,231.0815,1
1688627681133,1,-281.1268,231.0815,2
1688627681152,1,-272.1247,216.7404,0
1688627681152,1,-272.1247,216.7404,1
1688627681152,1,-272.1247,216.7404,2
1688627681172,1,-241.0406,235.2304,0
1688627681172,1,-241.0406,235.2304,1
1688627681172,1,-241.0406,235.2304,2
1688627681194,1,-239.0082,230.729,0
1688627681194,1,-239.0082,230.729,1
1688627681194,1,-239.0082,230.729,2
1688627681219,1,-237.2736,232.6606,0
1688627681219,1,-237.2736,232.6606,1
1688627681219,1,-237.2736,232.6606,2
1688627681235,1,-237.0336,228.3284,0
1688627681235,1,-237.0336,228.3284,1
1688627681235,1,-237.0336,228.3284,2
1688627681260,1,-235.5985,227.2197,0
1688627681260,1,-235.5985,227.2197,1
1688627681260,1,-235.5985,227.2197,2
1688627681281,1,-243.3666,225.3946,0
1688627681281,1,-243.3666,225.3946,1
1688627681281,1,-243.3666,225.3946,2
1688627681299,1,-251.2437,223.6899,0
1688627681299,1,-251.2437,223.6899,1
1688627681299,1,-251.2437,223.6899,2
1688627681319,1,-251.2683,223.1314,0
1688627681319,1,-251.2683,223.1314,1
1688627681319,1,-251.2683,223.1314,2
1688627681340,1,-251.5918,221.2328,0
1688627681340,1,-251.5918,221.2328,1
1688627681340,1,-251.5918,221.2328,2
1688627681363,1,-254.209,209.5039,0
1688627681363,1,-254.209,209.5039,1
1688627681363,1,-254.209,209.5039,2
1688627681386,1,-256.0041,205.5106,0
1688627681386,1,-256.0041,205.5106,1
1688627681386,1,-256.0041,205.5106,2
1688627681403,1,-251.3757,216.1464,0
1688627681403,1,-251.3757,216.1464,1
1688627681403,1,-251.3757,216.1464,2
1688627681424,1,-250.41,236.5534,0
1688627681424,1,-250.41,236.5534,1
1688627681424,1,-250.41,236.5534,2
1688627681446,1,-250.0125,202.7044,0
1688627681446,1,-250.0125,202.7044,1
1688627681446,1,-250.0125,202.7044,2
1688627681467,1,-246.3296,203.1362,0
1688627681467,1,-246.3296,203.1362,1
1688627681467,1,-246.3296,203.1362,2
1688627681486,1,-246.2041,203.1472,0
1688627681486,1,-246.2041,203.1472,1
1688627681486,1,-246.2041,203.1472,2
1688627681506,1,-180.2157,158.2031,0
1688627681506,1,-180.2157,158.2031,1
1688627681506,1,-180.2157,158.2031,2
1688627681527,1,-202.7549,169.4742,0
1688627681527,1,-202.7549,169.4742,1
1688627681527,1,-202.7549,169.4742,2
1688627681552,1,-174.9048,141.8304,0
1688627681552,1,-174.9048,141.8304,1
1688627681552,1,-174.9048,141.8304,2
1688627681569,1,-174.2944,148.193,0
1688627681569,1,-174.2944,148.193,1
1688627681569,1,-174.2944,148.193,2
